id,title,release_date,developer,publisher,genres,multiplayer_or_singleplayer,price,percent_positive,win_support,mac_support,lin_support
10063,THE E BALL,31-08-2018,meokigame,meokigame,Indie;RPG;Simulation;Strategy,Single-player;Steam Achievements,42,90%,1,0,0
10064,"Light and Dance VR - Music, Action, Relaxation",03-03-2017,Hermann Fischer,Total Creations,Simulation;Sports,Single-player,329,75%,1,0,0
10065,BASMENT DWELLERS,22-11-2016,Happy Pony Land,Happy Pony Land,Adventure;Casual;Indie;RPG,Single-player;Partial Controller Support,125,74%,1,0,0
10066,Captain Backwater,12-09-2017,Intermediaware,Intermediaware,Casual;Indie;Strategy,Single-player,Free to play,90%,1,1,0
10067,The Cabin: VR Escape the Room,05-01-2017,Blue Entropy Studios,Blue Entropy Studios,Action;Adventure;Casual;Indie;Strategy,Single-player;Steam Trading Cards,259,91%,1,0,0
10068,Soft Body,17-05-2016,Zeke Virant,Zeke Virant,Action;Indie,Single-player;Full controller support,199,59%,1,0,0
10069,Quip Anomaly,08-08-2016,mentics,mentics,Action;Indie,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,85,100%,1,1,1
10070,The Campaign Series: Fall Weiss,30-05-2014,Wastelands Interactive,Wastelands Interactive,Indie;Strategy,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards,479,93%,1,0,0
10071,Don't Play With Dolls,20-07-2018,Creative Black Chair,Creative Black Chair,Action;Adventure;Indie,Single-player,42,78%,1,0,0
10072,Insane Cold: Back to the Ice Age,16-12-2017,Mysterytag,RunServer,Casual;Indie,Single-player;Steam Trading Cards,85,100%,1,0,0
10073,Santa in search of toys,19-01-2019,Laush Dmitriy Sergeevich,Laush Studio,Casual;Indie,Single-player;Steam Achievements,165,72%,1,0,0
10074,VoidExpanse,02-04-2015,AtomicTorch Studio,AtomicTorch Studio,Action;Indie;RPG;Simulation;Strategy,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,479,81%,1,1,1
10075,Strange Night ll,04-02-2018,LB,LB,Indie,Single-player;Captions available,349,70%,1,0,0
10076,Sockman,01-02-2018,Sockware,Sockware,Action;Indie,Single-player;Full controller support,165,100%,1,0,0
10077,"Abha ""Light on the Path""",23-10-2018,Little Angel,Little Angel,Adventure;Indie,Single-player,165,100%,1,0,0
10078,WASTED,07-06-2016,Mr. Podunkian,Adult Swim Games,Action;Indie;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,439,80%,1,0,0
10079,XLarn,25-05-2015,Swinfjord-Games,Swinfjord-Games,Indie;RPG,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,250,95%,1,1,1
10080,Golem Creation Kit,14-07-2017,Illuminated Games,AAD Productions,Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards,259,87%,1,1,1
10081,Carp Fishing Simulator,28-04-2015,Dangerous Derk Interactive,Dangerous Derk Interactive,Simulation;Sports;Early Access,Single-player;Partial Controller Support;Steam Cloud;Steam Leaderboards,519,100%,1,0,0
10082,The Islander,13-02-2018,Think Inside The Box,Think Inside The Box,Casual;Indie;Simulation,Single-player;Steam Achievements,125,100%,1,0,0
